2024-12-11 00:00:29,877 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:00:29,878 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.01)
2024-12-11 00:00:29,889 | TradingBot | INFO | Next check time: 2024-12-11 00:01:29
2024-12-11 00:01:32,648 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:01:32,649 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.02)
2024-12-11 00:01:32,659 | TradingBot | INFO | Next check time: 2024-12-11 00:02:32
2024-12-11 00:02:34,743 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:02:34,745 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.03)
2024-12-11 00:02:34,754 | TradingBot | INFO | Next check time: 2024-12-11 00:03:34
2024-12-11 00:03:15,989 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:03:15,990 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.03)
2024-12-11 00:03:16,001 | TradingBot | INFO | Next check time: 2024-12-11 00:04:16
2024-12-11 00:04:17,939 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:04:17,940 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.03)
2024-12-11 00:04:17,951 | TradingBot | INFO | Next check time: 2024-12-11 00:05:17
2024-12-11 00:05:19,839 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:05:19,839 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.02)
2024-12-11 00:05:19,850 | TradingBot | INFO | Next check time: 2024-12-11 00:06:19
2024-12-11 00:06:21,671 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:06:21,671 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.04)
2024-12-11 00:06:21,683 | TradingBot | INFO | Next check time: 2024-12-11 00:07:21
2024-12-11 00:07:23,918 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:07:23,918 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.04)
2024-12-11 00:07:23,929 | TradingBot | INFO | Next check time: 2024-12-11 00:08:23
2024-12-11 00:07:56,082 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:07:56,083 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.05)
2024-12-11 00:07:56,093 | TradingBot | INFO | Next check time: 2024-12-11 00:08:56
2024-12-11 00:08:57,973 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:08:57,974 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.06)
2024-12-11 00:08:57,984 | TradingBot | INFO | Next check time: 2024-12-11 00:09:57
2024-12-11 00:09:59,988 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:09:59,988 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.03)
2024-12-11 00:09:59,999 | TradingBot | INFO | Next check time: 2024-12-11 00:10:59
2024-12-11 00:10:26,616 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:10:26,617 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.03)
2024-12-11 00:10:26,627 | TradingBot | INFO | Next check time: 2024-12-11 00:11:26
2024-12-11 00:11:35,009 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:11:35,010 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.01)
2024-12-11 00:11:35,022 | TradingBot | INFO | Next check time: 2024-12-11 00:12:35
2024-12-11 00:12:14,186 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:12:14,187 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.03)
2024-12-11 00:12:14,195 | TradingBot | INFO | Next check time: 2024-12-11 00:13:14
2024-12-11 00:13:16,917 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:13:16,918 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.04)
2024-12-11 00:13:16,929 | TradingBot | INFO | Next check time: 2024-12-11 00:14:16
2024-12-11 00:14:18,520 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:14:18,522 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.04)
2024-12-11 00:14:18,532 | TradingBot | INFO | Next check time: 2024-12-11 00:15:18
2024-12-11 00:15:19,999 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:15:19,999 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.04)
2024-12-11 00:15:20,008 | TradingBot | INFO | Next check time: 2024-12-11 00:16:20
2024-12-11 00:16:21,429 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:16:21,430 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.04)
2024-12-11 00:16:21,438 | TradingBot | INFO | Next check time: 2024-12-11 00:17:21
2024-12-11 00:17:23,016 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:17:23,017 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.03)
2024-12-11 00:17:23,026 | TradingBot | INFO | Next check time: 2024-12-11 00:18:23
2024-12-11 00:18:29,442 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:18:29,443 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.01)
2024-12-11 00:18:29,453 | TradingBot | INFO | Next check time: 2024-12-11 00:19:29
2024-12-11 00:19:31,060 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:19:31,060 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.00)
2024-12-11 00:19:31,069 | TradingBot | INFO | Next check time: 2024-12-11 00:20:31
2024-12-11 00:20:32,680 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:20:32,681 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.01)
2024-12-11 00:20:32,691 | TradingBot | INFO | Next check time: 2024-12-11 00:21:32
2024-12-11 00:21:34,304 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:21:34,305 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: -0.00)
2024-12-11 00:21:34,314 | TradingBot | INFO | Next check time: 2024-12-11 00:22:34
2024-12-11 00:22:36,114 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:22:36,114 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.01)
2024-12-11 00:22:36,126 | TradingBot | INFO | Next check time: 2024-12-11 00:23:36
2024-12-11 00:23:37,638 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:23:37,639 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.00)
2024-12-11 00:23:37,647 | TradingBot | INFO | Next check time: 2024-12-11 00:24:37
2024-12-11 00:24:40,003 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:24:40,003 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.00)
2024-12-11 00:24:40,012 | TradingBot | INFO | Next check time: 2024-12-11 00:25:40
2024-12-11 00:25:41,687 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:25:41,688 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.01)
2024-12-11 00:25:41,697 | TradingBot | INFO | Next check time: 2024-12-11 00:26:41
2024-12-11 00:26:43,176 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:26:43,177 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.03)
2024-12-11 00:26:43,186 | TradingBot | INFO | Next check time: 2024-12-11 00:27:43
2024-12-11 00:27:44,710 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:27:44,711 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.05)
2024-12-11 00:27:44,719 | TradingBot | INFO | Next check time: 2024-12-11 00:28:44
2024-12-11 00:28:46,196 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:28:46,197 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.07)
2024-12-11 00:28:46,206 | TradingBot | INFO | Next check time: 2024-12-11 00:29:46
2024-12-11 00:29:47,776 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:29:47,777 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.08)
2024-12-11 00:29:47,785 | TradingBot | INFO | Next check time: 2024-12-11 00:30:47
2024-12-11 00:30:49,629 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:30:49,630 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.08)
2024-12-11 00:30:49,638 | TradingBot | INFO | Next check time: 2024-12-11 00:31:49
2024-12-11 00:31:51,119 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:31:51,120 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.10)
2024-12-11 00:31:51,128 | TradingBot | INFO | Next check time: 2024-12-11 00:32:51
2024-12-11 00:32:52,888 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:32:52,889 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.10)
2024-12-11 00:32:52,898 | TradingBot | INFO | Next check time: 2024-12-11 00:33:52
2024-12-11 00:33:54,745 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:33:54,746 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.08)
2024-12-11 00:33:54,755 | TradingBot | INFO | Next check time: 2024-12-11 00:34:54
2024-12-11 00:34:56,322 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:34:56,322 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.06)
2024-12-11 00:34:56,333 | TradingBot | INFO | Next check time: 2024-12-11 00:35:56
2024-12-11 00:35:57,919 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:35:57,919 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.06)
2024-12-11 00:35:57,931 | TradingBot | INFO | Next check time: 2024-12-11 00:36:57
2024-12-11 00:36:59,556 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:36:59,557 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.05)
2024-12-11 00:36:59,564 | TradingBot | INFO | Next check time: 2024-12-11 00:37:59
2024-12-11 00:38:01,055 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:38:01,056 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.03)
2024-12-11 00:38:01,066 | TradingBot | INFO | Next check time: 2024-12-11 00:39:01
2024-12-11 00:39:02,924 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:39:02,925 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.04)
2024-12-11 00:39:02,935 | TradingBot | INFO | Next check time: 2024-12-11 00:40:02
